time;wx;wy;wz
0,007;-0,12;-0,16;0,03
0,201;-0,89;0,31;0,71
0,389;-0,16;0,60;0,11
0,561;-0,76;-0,40;0,27
0,752;-0,66;-0,33;0,21
0,945;-0,23;0,36;0,09
1,137;0,98;0,52;-0,03
1,378;0,44;-0,08;-0,09
1,693;0,09;-0,25;-0,08
1,862;0,11;0,09;-0,11
2,017;0,02;-0,05;-0,07
2,184;0,06;0,00;-0,05
2,462;0,05;0,08;-0,06
2,654;-0,08;-0,02;-0,02
2,826;-0,06;-0,07;-0,00
2,988;-0,03;-0,06;-0,00
3,210;-0,04;-0,02;0,00
3,402;-0,02;-0,01;-0,01
3,601;-0,00;0,01;-0,01
3,789;-0,00;-0,01;-0,01
4,120;-0,00;0,01;-0,03
4,282;-0,02;0,02;-0,04
4,443;-0,02;0,09;0,03
4,604;-0,11;-0,14;0,10
4,918;0,04;0,26;0,11
5,091;-0,21;0,10;-0,13
5,252;-0,15;0,43;-0,12
5,413;-0,36;0,03;0,02
5,667;0,26;-0,14;0,05
5,859;0,10;0,29;0,01
6,051;0,64;-0,34;-0,97
6,223;0,63;-0,65;-0,70
6,415;0,02;0,05;0,18
6,608;-0,90;0,34;0,75
6,800;-0,39;0,48;0,64
7,031;0,59;-0,02;-0,61
7,356;0,90;-1,10;-1,07
7,517;0,04;-0,20;-0,19
7,679;-1,12;0,30;0,36
7,841;-0,51;0,34;0,71
8,129;0,72;0,27;-0,77
8,316;1,30;-0,93;-1,34
8,488;0,03;-0,45;-0,33
8,649;-0,95;0,39;0,47
8,871;-0,45;-0,25;0,50
9,064;0,31;-0,24;-0,68
9,256;1,15;-0,28;-1,71
9,448;0,71;-0,46;-0,47
9,782;-1,23;0,03;0,32
9,949;-0,60;0,37;0,19
10,105;0,34;0,19;-0,63
10,267;1,00;-0,82;-1,46
10,580;0,76;-0,78;-0,51
10,752;-0,93;0,30;0,54
10,915;-0,61;0,23;0,58
11,076;-0,10;0,33;0,13
11,328;0,92;-0,25;-1,54
11,521;0,78;-1,01;-0,70
11,713;-0,81;0,41;0,22
11,885;-0,81;0,40;0,87
12,078;0,04;0,33;0,34
12,272;0,94;-0,91;-1,74
12,461;0,87;-0,86;-0,97
12,693;-0,59;0,49;0,30
13,017;-1,06;0,34;0,87
13,179;-0,36;0,16;0,95
13,341;0,75;-0,37;-1,59
13,503;0,96;-0,70;-1,18
13,788;-0,42;0,29;-0,04
13,978;-0,94;0,13;0,40
14,151;-0,11;0,26;-0,01
14,311;0,51;-0,47;-1,45
14,534;1,10;-0,72;-1,42
14,726;-0,15;0,19;-0,01
14,918;-1,15;0,15;0,57
15,110;-0,20;0,16;0,55
15,444;0,95;-0,10;-1,39
15,605;1,04;-0,76;-1,14
15,768;-0,42;0,03;0,07
15,929;-1,15;0,03;0,74
16,242;-0,03;0,27;0,75
16,414;0,22;-0,41;-0,87
16,577;0,52;-0,65;-1,52
16,738;0,31;0,17;-0,52
16,991;-1,04;0,28;0,83
17,183;0,31;0,37;-0,33
17,377;0,88;-0,68;-1,08
17,547;0,18;-0,24;-1,11
17,739;0,08;-0,08;-0,18
17,930;-0,35;-0,16;0,23
18,123;0,16;-0,23;-0,03
18,356;-0,14;-0,42;-0,35
18,679;0,10;-0,09;-0,69
18,841;0,22;0,27;-0,17
19,003;-0,42;0,10;-0,02
19,165;0,03;-0,27;-0,20
19,447;0,17;-0,03;-0,77
19,640;0,24;-0,31;-1,13
19,813;0,63;-0,07;-0,59
19,974;-0,55;-0,34;0,09
20,197;-0,13;-0,06;0,14
20,388;0,14;-0,04;-0,20
20,580;0,44;-0,16;-0,95
20,772;0,49;-0,18;-0,46
21,105;-0,66;0,12;0,31
21,267;-0,30;-0,12;0,47
21,432;-0,03;0,06;0,08
21,591;0,43;-0,07;-1,04
21,905;0,66;-0,35;-0,40
22,076;-0,40;0,09;0,21
22,239;-0,31;0,25;0,41
22,400;-0,04;0,04;0,07
22,652;0,45;-0,63;-1,26
22,849;0,55;-0,51;-0,83
23,037;-0,05;0,16;-0,05
23,208;-0,74;-0,05;0,61
23,400;-0,16;0,13;0,59
23,593;0,37;-0,30;-1,13
23,785;0,56;-0,51;-1,00
24,016;-0,04;0,29;0,01
24,340;-0,82;0,63;0,19
24,502;-0,17;-0,31;-0,03
24,669;0,16;-0,55;-0,66
24,825;0,69;-0,35;-1,16
25,108;0,26;0,04;-0,02
25,302;-0,58;0,24;0,45
25,474;-0,05;0,03;0,15
25,636;0,29;-0,61;-0,41
25,857;0,08;-0,32;-0,96
26,051;-0,03;-0,23;-0,25
26,242;0,01;0,15;0,15
26,434;-0,19;-0,12;0,13
26,776;-0,06;0,02;-0,07
26,930;-0,07;0,11;-0,00
27,091;-0,07;0,01;0,06
27,253;-0,05;-0,01;0,01
27,566;-0,04;-0,01;0,05
27,738;-0,04;0,02;0,01
27,900;0,07;-0,01;-0,05
28,064;-0,15;-0,26;0,27
28,314;0,02;0,03;-0,02
28,506;0,02;0,07;-0,06
28,698;0,02;0,06;-0,02
28,870;0,05;-0,01;-0,00
29,062;0,14;-0,00;-0,01
29,254;0,05;0,01;-0,06
29,446;-0,03;0,01;-0,01
29,679;0,10;-0,03;-0,07
30,003;-0,00;-0,02;-0,00
30,164;0,02;-0,08;-0,02
30,326;0,00;-0,06;-0,04
30,488;0,03;-0,03;-0,01
30,770;0,00;-0,13;-0,09
30,964;0,09;-0,24;-0,15
31,137;-0,00;-0,19;-0,06
31,305;-0,00;-0,34;-0,07
